C1;H1;L1;C1;V1;O2;H2;L2;C2;V2;O3;H3;L3;C3;V3;O4;H4;L4;C4;V4;Final
6013.72;6171;5850.03;6024.97;1664.307693;6003.27;6060;5720.03;5950.02;1362.092216;5975;6080;5621.03;5915.93;1812.557715;5909.47;5925;5450;5477.03;2580.418767;TRUE
6003.27;6060;5720.03;5950.02;1362.092216;5975;6080;5621.03;5915.93;1812.557715;5909.47;5925;5450;5477.03;2580.418767;5506.92;5704.96;5286.98;5689.99;2282.813205;TRUE
5975;6080;5621.03;5915.93;1812.557715;5909.47;5925;5450;5477.03;2580.418767;5506.92;5704.96;5286.98;5689.99;2282.813205;5670.1;5939.99;5650;5861.77;1972.965882;FALSE
5909.47;5925;5450;5477.03;2580.418767;5506.92;5704.96;5286.98;5689.99;2282.813205;5670.1;5939.99;5650;5861.77;1972.965882;5861.77;5980;5649.24;5768.83;1403.706416;FALSE
5506.92;5704.96;5286.98;5689.99;2282.813205;5670.1;5939.99;5650;5861.77;1972.965882;5861.77;5980;5649.24;5768.83;1403.706416;5768.79;5850.02;5630.03;5719.64;1276.754412;TRUE
5670.1;5939.99;5650;5861.77;1972.965882;5861.77;5980;5649.24;5768.83;1403.706416;5768.79;5850.02;5630.03;5719.64;1276.754412;5709.98;6189.88;5648.01;6169.98;1804.778173;FALSE
5861.77;5980;5649.24;5768.83;1403.706416;5768.79;5850.02;5630.03;5719.64;1276.754412;5709.98;6189.88;5648.01;6169.98;1804.778173;6133.01;6248.68;6030;6120.5;1473.687043;TRUE
5768.79;5850.02;5630.03;5719.64;1276.754412;5709.98;6189.88;5648.01;6169.98;1804.778173;6133.01;6248.68;6030;6120.5;1473.687043;6120.52;6498.01;6100;6463;1511.774925;TRUE
5709.98;6189.88;5648.01;6169.98;1804.778173;6133.01;6248.68;6030;6120.5;1473.687043;6120.52;6498.01;6100;6463;1511.774925;6463;6774.67;6338.02;6753.98;1675.615188;TRUE
6133.01;6248.68;6030;6120.5;1473.687043;6120.52;6498.01;6100;6463;1511.774925;6463;6774.67;6338.02;6753.98;1675.615188;6753.98;7300;6685.1;7019.98;2503.610803;TRUE
6120.52;6498.01;6100;6463;1511.774925;6463;6774.67;6338.02;6753.98;1675.615188;6753.98;7300;6685.1;7019.98;2503.610803;7010.31;7346.34;6923;7115.04;1891.497592;TRUE
6463;6774.67;6338.02;6753.98;1675.615188;6753.98;7300;6685.1;7019.98;2503.610803;7010.31;7346.34;6923;7115.04;1891.497592;7115.02;7480.99;6901;7357.09;1399.191767;FALSE
6753.98;7300;6685.1;7019.98;2503.610803;7010.31;7346.34;6923;7115.04;1891.497592;7115.02;7480.99;6901;7357.09;1399.191767;7357.27;7590.25;7279.02;7345.01;1207.83233;FALSE
7010.31;7346.34;6923;7115.04;1891.497592;7115.02;7480.99;6901;7357.09;1399.191767;7357.27;7590.25;7279.02;7345.01;1207.83233;7345.1;7401;6906;6960.12;1763.019261;TRUE
7115.02;7480.99;6901;7357.09;1399.191767;7357.27;7590.25;7279.02;7345.01;1207.83233;7345.1;7401;6906;6960.12;1763.019261;6981.72;7198.49;6901;7064.04;1440.259494;TRUE
7357.27;7590.25;7279.02;7345.01;1207.83233;7345.1;7401;6906;6960.12;1763.019261;6981.72;7198.49;6901;7064.04;1440.259494;7070;7770.02;6651;7303;2822.298802;FALSE
7345.1;7401;6906;6960.12;1763.019261;6981.72;7198.49;6901;7064.04;1440.259494;7070;7770.02;6651;7303;2822.298802;7303.01;7392;7015;7079.99;1913.398308;FALSE
6981.72;7198.49;6901;7064.04;1440.259494;7070;7770.02;6651;7303;2822.298802;7303.01;7392;7015;7079.99;1913.398308;7079;7279.91;6255.01;6506.98;3254.704105;FALSE
7070;7770.02;6651;7303;2822.298802;7303.01;7392;7015;7079.99;1913.398308;7079;7279.91;6255.01;6506.98;3254.704105;6503;6797.98;6100;6245.05;2754.156861;FALSE
7303.01;7392;7015;7079.99;1913.398308;7079;7279.91;6255.01;6506.98;3254.704105;6503;6797.98;6100;6245.05;2754.156861;6245.05;6630;5325.01;5811.03;4968.483069;TRUE
7079;7279.91;6255.01;6506.98;3254.704105;6503;6797.98;6100;6245.05;2754.156861;6245.05;6630;5325.01;5811.03;4968.483069;5839.94;6697.47;5699.99;6465.99;2621.243039;TRUE
6503;6797.98;6100;6245.05;2754.156861;6245.05;6630;5325.01;5811.03;4968.483069;5839.94;6697.47;5699.99;6465.99;2621.243039;6465.99;6684.98;6311.07;6574.99;1254.292531;TRUE
6245.05;6630;5325.01;5811.03;4968.483069;5839.94;6697.47;5699.99;6465.99;2621.243039;6465.99;6684.98;6311.07;6574.99;1254.292531;6575.99;7298;6575.99;7240.06;1779.605845;TRUE
5839.94;6697.47;5699.99;6465.99;2621.243039;6465.99;6684.98;6311.07;6574.99;1254.292531;6575.99;7298;6575.99;7240.06;1779.605845;7240.14;7940;7076;7864.5;2331.95675;FALSE
6465.99;6684.98;6311.07;6574.99;1254.292531;6575.99;7298;6575.99;7240.06;1779.605845;7240.14;7940;7076;7864.5;2331.95675;7876.98;7989;7451;7699.19;3982.395925;TRUE
6575.99;7298;6575.99;7240.06;1779.605845;7240.14;7940;7076;7864.5;2331.95675;7876.98;7989;7451;7699.19;3982.395925;7680.01;7819.99;7422;7761.94;3954.266477;TRUE
7240.14;7940;7076;7864.5;2331.95675;7876.98;7989;7451;7699.19;3982.395925;7680.01;7819.99;7422;7761.94;3954.266477;7761.94;8123.15;7650.33;8038;3867.340444;TRUE
7876.98;7989;7451;7699.19;3982.395925;7680.01;7819.99;7422;7761.94;3954.266477;7761.94;8123.15;7650.33;8038;3867.340444;8057.11;8319.99;7954;8212;3886.634348;FALSE
7680.01;7819.99;7422;7761.94;3954.266477;7761.94;8123.15;7650.33;8038;3867.340444;8057.11;8319.99;7954;8212;3886.634348;8212.49;8400;7801;8119.51;4544.474016;TRUE
7761.94;8123.15;7650.33;8038;3867.340444;8057.11;8319.99;7954;8212;3886.634348;8212.49;8400;7801;8119.51;4544.474016;8091.09;8322.68;8091.09;8205.92;3545.00571;FALSE
8057.11;8319.99;7954;8212;3886.634348;8212.49;8400;7801;8119.51;4544.474016;8091.09;8322.68;8091.09;8205.92;3545.00571;8233.03;8260;8000;8019.99;4093.952687;TRUE
8212.49;8400;7801;8119.51;4544.474016;8091.09;8322.68;8091.09;8205.92;3545.00571;8233.03;8260;8000;8019.99;4093.952687;8019.97;8369;7850;8138;4411.789112;TRUE
8091.09;8322.68;8091.09;8205.92;3545.00571;8233.03;8260;8000;8019.99;4093.952687;8019.97;8369;7850;8138;4411.789112;8138.99;8734.78;8090;8700.01;4292.623682;TRUE
8233.03;8260;8000;8019.99;4093.952687;8019.97;8369;7850;8138;4411.789112;8138.99;8734.78;8090;8700.01;4292.623682;8700.04;9350;8604.72;9128.02;4147.380237;TRUE
8019.97;8369;7850;8138;4411.789112;8138.99;8734.78;8090;8700.01;4292.623682;8700.04;9350;8604.72;9128.02;4147.380237;9128;9654.28;9112.04;9650;4521.625707;TRUE
8138.99;8734.78;8090;8700.01;4292.623682;8700.04;9350;8604.72;9128.02;4147.380237;9128;9654.28;9112.04;9650;4521.625707;9650;9939;9570.5;9896.8;4917.210985;FALSE
