V1,HLV1,VO1,V2,HLV2,VO2,V3,HLV3,VO3,V4,HLV4,VO4,V5,HLV5,VO5,V6,HLV6,VO6,V7,HLV7,VO7,V8,HLV8,VO8,V9,HLV9,VO9,V10,HLV10,VO10,V11,HLV11,VO11,V12,HLV12,VO12,UP?
3.15,5.88,74911.47,0.25,4.28,63487.68,-2.10,4.79,53620.45,2.01,3.69,43785.01,-1.65,3.08,39436.26,-0.03,2.17,34170.29,1.19,3.80,29735.02,-1.94,2.90,30567.80,-4.32,6.25,48658.07,-7.80,15.01,109013.28,-7.15,12.88,76312.78,4.06,13.74,116545.37,FALSE
0.25,4.28,63487.68,-2.10,4.79,53620.45,2.01,3.69,43785.01,-1.65,3.08,39436.26,-0.03,2.17,34170.29,1.19,3.80,29735.02,-1.94,2.90,30567.80,-4.32,6.25,48658.07,-7.80,15.01,109013.28,-7.15,12.88,76312.78,4.06,13.74,116545.37,-5.95,10.69,63012.68,TRUE
-2.10,4.79,53620.45,2.01,3.69,43785.01,-1.65,3.08,39436.26,-0.03,2.17,34170.29,1.19,3.80,29735.02,-1.94,2.90,30567.80,-4.32,6.25,48658.07,-7.80,15.01,109013.28,-7.15,12.88,76312.78,4.06,13.74,116545.37,-5.95,10.69,63012.68,5.92,11.51,73967.36,FALSE
2.01,3.69,43785.01,-1.65,3.08,39436.26,-0.03,2.17,34170.29,1.19,3.80,29735.02,-1.94,2.90,30567.80,-4.32,6.25,48658.07,-7.80,15.01,109013.28,-7.15,12.88,76312.78,4.06,13.74,116545.37,-5.95,10.69,63012.68,5.92,11.51,73967.36,-3.31,9.49,67732.86,FALSE
-1.65,3.08,39436.26,-0.03,2.17,34170.29,1.19,3.80,29735.02,-1.94,2.90,30567.80,-4.32,6.25,48658.07,-7.80,15.01,109013.28,-7.15,12.88,76312.78,4.06,13.74,116545.37,-5.95,10.69,63012.68,5.92,11.51,73967.36,-3.31,9.49,67732.86,-0.94,4.96,55735.18,FALSE
-0.03,2.17,34170.29,1.19,3.80,29735.02,-1.94,2.90,30567.80,-4.32,6.25,48658.07,-7.80,15.01,109013.28,-7.15,12.88,76312.78,4.06,13.74,116545.37,-5.95,10.69,63012.68,5.92,11.51,73967.36,-3.31,9.49,67732.86,-0.94,4.96,55735.18,-11.60,20.26,89904.25,FALSE
1.19,3.80,29735.02,-1.94,2.90,30567.80,-4.32,6.25,48658.07,-7.80,15.01,109013.28,-7.15,12.88,76312.78,4.06,13.74,116545.37,-5.95,10.69,63012.68,5.92,11.51,73967.36,-3.31,9.49,67732.86,-0.94,4.96,55735.18,-11.60,20.26,89904.25,-0.21,8.97,94426.72,FALSE
-1.94,2.90,30567.80,-4.32,6.25,48658.07,-7.80,15.01,109013.28,-7.15,12.88,76312.78,4.06,13.74,116545.37,-5.95,10.69,63012.68,5.92,11.51,73967.36,-3.31,9.49,67732.86,-0.94,4.96,55735.18,-11.60,20.26,89904.25,-0.21,8.97,94426.72,-1.61,7.04,64720.21,FALSE
-4.32,6.25,48658.07,-7.80,15.01,109013.28,-7.15,12.88,76312.78,4.06,13.74,116545.37,-5.95,10.69,63012.68,5.92,11.51,73967.36,-3.31,9.49,67732.86,-0.94,4.96,55735.18,-11.60,20.26,89904.25,-0.21,8.97,94426.72,-1.61,7.04,64720.21,-8.69,12.00,68022.46,FALSE
-7.80,15.01,109013.28,-7.15,12.88,76312.78,4.06,13.74,116545.37,-5.95,10.69,63012.68,5.92,11.51,73967.36,-3.31,9.49,67732.86,-0.94,4.96,55735.18,-11.60,20.26,89904.25,-0.21,8.97,94426.72,-1.61,7.04,64720.21,-8.69,12.00,68022.46,-2.00,24.44,248817.23,TRUE
-7.15,12.88,76312.78,4.06,13.74,116545.37,-5.95,10.69,63012.68,5.92,11.51,73967.36,-3.31,9.49,67732.86,-0.94,4.96,55735.18,-11.60,20.26,89904.25,-0.21,8.97,94426.72,-1.61,7.04,64720.21,-8.69,12.00,68022.46,-2.00,24.44,248817.23,3.63,8.57,184798.77,TRUE
