CO1,HL1,HO1,HC1,OL1,CL1,V1,CO2,HL2,HO2,HC2,OL2,CL2,V2,CO3,HL3,HO3,HC3,OL3,CL3,V3,CO4,HL4,HO4,HC4,OL4,CL4,V4,Final
60.74965144,70.69071893,70.50661977,6.069666861,0.10797186,60.92321583,1498409.89,26.87434249,87.65329945,63.29631794,28.7071245,14.91581795,45.79868844,1689489.647,-7.126984273,45.11125828,21.12547332,30.42052352,19.80242826,11.26412804,1886176.066,-4.891211077,32.30364807,22.32194141,28.61265798,8.160193133,2.869849785,1201961.576,FALSE
26.87434249,87.65329945,63.29631794,28.7071245,14.91581795,45.79868844,1689489.647,-7.126984273,45.11125828,21.12547332,30.42052352,19.80242826,11.26412804,1886176.066,-4.891211077,32.30364807,22.32194141,28.61265798,8.160193133,2.869849785,1201961.576,-13.55131123,41.45097276,13.7362156,31.56499794,24.36757458,7.514137484,1116856.476,TRUE
-7.126984273,45.11125828,21.12547332,30.42052352,19.80242826,11.26412804,1886176.066,-4.891211077,32.30364807,22.32194141,28.61265798,8.160193133,2.869849785,1201961.576,-13.55131123,41.45097276,13.7362156,31.56499794,24.36757458,7.514137484,1116856.476,10.26396959,42.05479452,25.09092313,13.44678011,13.56123288,25.21712329,1446755.855,FALSE
-4.891211077,32.30364807,22.32194141,28.61265798,8.160193133,2.869849785,1201961.576,-13.55131123,41.45097276,13.7362156,31.56499794,24.36757458,7.514137484,1116856.476,10.26396959,42.05479452,25.09092313,13.44678011,13.56123288,25.21712329,1446755.855,-17.49255541,46.02732157,4.078609671,26.14450754,40.304835,15.761934,1499118.775,FALSE
-13.55131123,41.45097276,13.7362156,31.56499794,24.36757458,7.514137484,1116856.476,10.26396959,42.05479452,25.09092313,13.44678011,13.56123288,25.21712329,1446755.855,-17.49255541,46.02732157,4.078609671,26.14450754,40.304835,15.761934,1499118.775,-4.580519134,20.43512044,2.776558457,7.710246927,17.18150738,11.81398601,1307026.468,TRUE
10.26396959,42.05479452,25.09092313,13.44678011,13.56123288,25.21712329,1446755.855,-17.49255541,46.02732157,4.078609671,26.14450754,40.304835,15.761934,1499118.775,-4.580519134,20.43512044,2.776558457,7.710246927,17.18150738,11.81398601,1307026.468,29.98718597,39.39665611,33.1157821,2.406849648,4.718354136,36.12044174,1691323.138,FALSE
-17.49255541,46.02732157,4.078609671,26.14450754,40.304835,15.761934,1499118.775,-4.580519134,20.43512044,2.776558457,7.710246927,17.18150738,11.81398601,1307026.468,29.98718597,39.39665611,33.1157821,2.406849648,4.718354136,36.12044174,1691323.138,-8.85506501,24.3339254,12.27893081,23.18724109,10.7366489,0.930846655,1609726.155,FALSE
-4.580519134,20.43512044,2.776558457,7.710246927,17.18150738,11.81398601,1307026.468,29.98718597,39.39665611,33.1157821,2.406849648,4.718354136,36.12044174,1691323.138,-8.85506501,24.3339254,12.27893081,23.18724109,10.7366489,0.930846655,1609726.155,-24.79196021,142.9318929,7.79470201,43.32869507,125.3653365,69.49285191,3789768.913,TRUE
29.98718597,39.39665611,33.1157821,2.406849648,4.718354136,36.12044174,1691323.138,-8.85506501,24.3339254,12.27893081,23.18724109,10.7366489,0.930846655,1609726.155,-24.79196021,142.9318929,7.79470201,43.32869507,125.3653365,69.49285191,3789768.913,34.43249835,53.81838699,47.53264901,9.744779582,4.260574201,40.1600947,2528373.691,TRUE
-8.85506501,24.3339254,12.27893081,23.18724109,10.7366489,0.930846655,1609726.155,-24.79196021,142.9318929,7.79470201,43.32869507,125.3653365,69.49285191,3789768.913,34.43249835,53.81838699,47.53264901,9.744779582,4.260574201,40.1600947,2528373.691,9.608700696,24.02365406,16.78654292,6.548606253,6.196870765,16.40101023,2685340.079,FALSE
