V1,HLV1,V2,HLV2,V3,HLV3,V4,HLV4,V5,HLV5,V6,HLV6,V7,HLV7,V8,HLV8,V9,HLV9,V10,HLV10,V11,HLV11,V12,HLV12,Final
-0.480413895,4.90233627,-5.683506686,11.50662252,-11.93383222,19.98158379,5.858676208,33.06144644,-3.88677651,12.56304448,-3.736263736,12.82545805,-11.42074006,14.77987421,8.354822073,23.1281198,-13.28571429,22.71689498,2.586681343,28.49673203,16.73819742,22.00220022,1.607717042,13.31730769,FALSE
-5.683506686,11.50662252,-11.93383222,19.98158379,5.858676208,33.06144644,-3.88677651,12.56304448,-3.736263736,12.82545805,-11.42074006,14.77987421,8.354822073,23.1281198,-13.28571429,22.71689498,2.586681343,28.49673203,16.73819742,22.00220022,1.607717042,13.31730769,-3.934871099,10.7,FALSE
-11.93383222,19.98158379,5.858676208,33.06144644,-3.88677651,12.56304448,-3.736263736,12.82545805,-11.42074006,14.77987421,8.354822073,23.1281198,-13.28571429,22.71689498,2.586681343,28.49673203,16.73819742,22.00220022,1.607717042,13.31730769,-3.934871099,10.7,-4.231311707,7.990074442,FALSE
5.858676208,33.06144644,-3.88677651,12.56304448,-3.736263736,12.82545805,-11.42074006,14.77987421,8.354822073,23.1281198,-13.28571429,22.71689498,2.586681343,28.49673203,16.73819742,22.00220022,1.607717042,13.31730769,-3.934871099,10.7,-4.231311707,7.990074442,-5.547373589,12.40478781,TRUE
-3.88677651,12.56304448,-3.736263736,12.82545805,-11.42074006,14.77987421,8.354822073,23.1281198,-13.28571429,22.71689498,2.586681343,28.49673203,16.73819742,22.00220022,1.607717042,13.31730769,-3.934871099,10.7,-4.231311707,7.990074442,-5.547373589,12.40478781,2.649350649,7.48262961,FALSE
-3.736263736,12.82545805,-11.42074006,14.77987421,8.354822073,23.1281198,-13.28571429,22.71689498,2.586681343,28.49673203,16.73819742,22.00220022,1.607717042,13.31730769,-3.934871099,10.7,-4.231311707,7.990074442,-5.547373589,12.40478781,2.649350649,7.48262961,-2.279635258,4.397905759,FALSE
-11.42074006,14.77987421,8.354822073,23.1281198,-13.28571429,22.71689498,2.586681343,28.49673203,16.73819742,22.00220022,1.607717042,13.31730769,-3.934871099,10.7,-4.231311707,7.990074442,-5.547373589,12.40478781,2.649350649,7.48262961,-2.279635258,4.397905759,-5.5469155,6.791827719,FALSE
8.354822073,23.1281198,-13.28571429,22.71689498,2.586681343,28.49673203,16.73819742,22.00220022,1.607717042,13.31730769,-3.934871099,10.7,-4.231311707,7.990074442,-5.547373589,12.40478781,2.649350649,7.48262961,-2.279635258,4.397905759,-5.5469155,6.791827719,-10.3183315,19.04761905,FALSE
-13.28571429,22.71689498,2.586681343,28.49673203,16.73819742,22.00220022,1.607717042,13.31730769,-3.934871099,10.7,-4.231311707,7.990074442,-5.547373589,12.40478781,2.649350649,7.48262961,-2.279635258,4.397905759,-5.5469155,6.791827719,-10.3183315,19.04761905,-2.631578947,14.28571429,TRUE
2.586681343,28.49673203,16.73819742,22.00220022,1.607717042,13.31730769,-3.934871099,10.7,-4.231311707,7.990074442,-5.547373589,12.40478781,2.649350649,7.48262961,-2.279635258,4.397905759,-5.5469155,6.791827719,-10.3183315,19.04761905,-2.631578947,14.28571429,6.407035176,12.77705346,TRUE
